gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,0,0,0.10704778280226633,0,0,-0.5172074769706297,-0.25504092025125735,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0
1,0,1,1,-0.7073594915983407,1,0,0.3436033691154218,-0.49773564378084617,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,0,1,1,-0.7888002190384014,0,0,-0.8046983579993692,-0.7453274977070509,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
0,0,1,0,-0.2594354906780068,1,1,0.29042586511010604,-0.16501754570806054,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1,0,1,1,-1.2774445836787656,1,0,-0.6717545979860794,-0.986125134686599,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,0,0,1,1.369379058123207,1,1,0.4898415051300408,1.2866507296996086,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
0,0,0,0,-1.2774445836787656,1,0,-1.4943441130683104,-0.9970444119222968,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
0,0,1,0,0.3106496014024181,1,0,-0.27126152094604356,0.043838447963830504,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
0,0,1,0,1.3286586944031769,1,1,-0.16490651293541178,0.6743329569551688,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,0
0,0,0,0,1.125056875803025,1,0,0.5247392421335293,1.1326558319573745,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0
0,1,0,0,-1.1145631287986442,1,0,-0.1615829189350795,-0.8787853305878008,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0
0,0,1,1,-1.1145631287986442,1,1,-0.5105602889699654,-0.9031827459871578,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,0,0,0,-1.2367242199587352,1,0,-0.4590445819648154,-0.9514922755753962,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1,0,1,1,-0.0965540357978854,1,0,0.09433381909050333,-0.12332575989903286,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,0
1,0,1,0,0.14776814652229667,1,1,1.0182929511828682,0.5269778621380763,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
0,0,1,1,0.9214550572028734,1,1,0.142525932095321,0.6895096493554922,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
0,0,0,0,-0.055833672077855064,1,1,0.6643301901474837,0.14720760579510242,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
0,1,1,1,-0.1779947632379461,0,1,-0.9592454790148186,-0.5762220850022856,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
1,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8616012559077836,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0,0,0,-1.0738427650786138,1,0,-1.4827115340671475,-0.9482054628317216,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0
1,1,1,0,-0.21871512695797646,1,1,0.7025515211513048,-0.026309636095803397,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0
1,0,0,0,1.0436161483629645,1,1,-1.3115464430500368,-0.35532179765223093,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0,1,1,1.6137012404433893,1,1,1.3340343812144315,2.405733261910076,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0
0,0,0,0,-0.1779947632379461,0,1,-0.9642308700153169,-0.5816265757553076,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0
1,0,1,1,0.3106496014024181,1,1,0.6743009721484804,0.4746756271363808,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0
1,0,0,0,-1.2774445836787656,1,0,-1.4710789550659844,-0.996735583879267,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,1
0,0,0,0,-1.1145631287986442,1,1,0.5064594751317021,-0.8237918797825595,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0,0,0,0,-1.2774445836787656,1,1,0.14751132309581955,-0.9752499757427628,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,0,1,-0.8295205827584317,1,1,1.3473287572157604,-0.4429848435808425,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0
1,0,0,0,-1.1145631287986442,1,1,1.0415581091851935,-0.8057474984112448,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,1
1,0,1,0,1.5729808767233588,1,1,0.7091987091519689,1.6615679739378277,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
1,0,0,0,-1.1960038562387048,1,1,0.40508985812156867,-0.905013655099406,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,0,1,0,-0.0965540357978854,1,0,-1.4993295040688086,-0.7164300165378306,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,1
0,0,1,0,-0.30015585439803716,1,1,-1.481049737066981,-0.7817030293467792,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
1,0,1,1,0.7992939660427822,1,0,-1.3364733980525287,-0.41854330988962424,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0
0,1,0,0,0.5549717837226001,1,1,1.503537675231376,1.1448986579489144,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,1
1,0,0,0,-0.9516816739185228,1,1,0.19071804510013865,-0.7419965666715147,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0,1,0,-0.5444780367182193,1,1,0.7341256641544608,-0.3155932758310357,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
0,0,0,0,-0.8295205827584317,1,1,-0.5105602889699654,-0.7359303015405715,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,1,1,0,0.5142514200025698,1,1,1.1279715531938321,0.990925819352611,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,0,1,1,0.14776814652229667,1,1,1.3207400052131024,0.6199571622359872,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0
1,0,0,0,0.22920887396235737,1,1,1.0083221691818711,0.622714555477325,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,0
1,0,1,1,-1.2774445836787656,1,0,-1.5142856770703037,-0.9973091216734653,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0
1,0,1,0,-0.9109613101984924,1,1,1.1213243651931677,-0.5479422599191249,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,1
